x,y,lat__lat,lon__long,identifier__identifiant,station_id__id_station,period_group__groupe_periode,period_value__valeur_periode,province__province,year__annee,temp_mean__temp_moyenne,temp_mean_units__temp_moyenne_unites,temp_min__temp_min,temp_min_units__temp_min_unites,temp_max__temp_max,temp_max_units__temp_max_unites,total_precip__precip_totale,total_precip_units__precip_totale_unites,rain__pluie,rain_units__pluie_unites,snow__neige,snow_units__neige_unites,pressure_sea_level__pression_niveau_mer,pressure_sea_level_units__pression_niveau_mer_unite,pressure_station__pression_station,pressure_station_units__pression_station_unites,wind_speed__vitesse_vent,wind_speed_units__vitesse_vent_unites
-105.1383,69.1081,69.1081,-105.1383,2400600.2010,2400600,Annual,Ann,NU,2010,,C,,C,,C,252.2,mm,97.6,mm,154.5,mm,1016.2,hPa,1012.6,hPa,19.2,kph
-105.1383,69.1081,69.1081,-105.1383,2400600.2011,2400600,Annual,Ann,NU,2011,,C,,C,,C,250.4,mm,128.9,mm,121.5,mm,1013.2,hPa,1009.1,hPa,19.5,kph
-105.1383,69.1081,69.1081,-105.1383,2400600.2012,2400600,Annual,Ann,NU,2012,,C,,C,,C,217.5,mm,117,mm,100.5,mm,1016,hPa,1011.9,hPa,18.1,kph
-105.1383,69.1081,69.1081,-105.1383,2400600.2013,2400600,Annual,Ann,NU,2013,,C,,C,,C,185.6,mm,123.4,mm,62.2,mm,1017.2,hPa,1013,hPa,18.9,kph
-105.1383,69.1081,69.1081,-105.1383,2400600.2014,2400600,Annual,Ann,NU,2014,,C,,C,,C,255.2,mm,140.6,mm,114.6,mm,1017,hPa,1012.8,hPa,20.3,kph
-105.1383,69.1081,69.1081,-105.1383,2400600.2015,2400600,Annual,Ann,NU,2015,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-105.1383,69.1081,69.1081,-105.1383,2400600.2016,2400600,Annual,Ann,NU,2016,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-105.1383,69.1081,69.1081,-105.1383,2400600.2017,2400600,Annual,Ann,NU,2017,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-105.1,69.1,69.1,-105.1,2400602.1990,2400602,Annual,Ann,NU,1990,-14.8,C,-17.9,C,-11.6,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-105.1,69.1,69.1,-105.1,2400602.1991,2400602,Annual,Ann,NU,1991,-14.9,C,-18.1,C,-11.7,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-105.1,69.1,69.1,-105.1,2400602.1992,2400602,Annual,Ann,NU,1992,-14.5,C,-17.8,C,-11.2,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-105.1,69.1,69.1,-105.1,2400602.1993,2400602,Annual,Ann,NU,1993,-14.1,C,-17.3,C,-10.8,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-105.1,69.1,69.1,-105.1,2400602.1994,2400602,Annual,Ann,NU,1994,-13.1,C,-16.4,C,-9.8,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-105.1,69.1,69.1,-105.1,2400602.1995,2400602,Annual,Ann,NU,1995,-14.3,C,-17.7,C,-10.8,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-105.1,69.1,69.1,-105.1,2400602.1996,2400602,Annual,Ann,NU,1996,-13.3,C,-16.8,C,-9.8,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-105.1,69.1,69.1,-105.1,2400602.1997,2400602,Annual,Ann,NU,1997,-13.9,C,-17.1,C,-10.6,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-105.1,69.1,69.1,-105.1,2400602.1998,2400602,Annual,Ann,NU,1998,-11.4,C,-14.6,C,-8.1,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-105.1,69.1,69.1,-105.1,2400602.1999,2400602,Annual,Ann,NU,1999,-12.9,C,-15.8,C,-10,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-105.1,69.1,69.1,-105.1,2400602.2000,2400602,Annual,Ann,NU,2000,-13.4,C,-16.9,C,-9.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-105.1,69.1,69.1,-105.1,2400602.2001,2400602,Annual,Ann,NU,2001,-12.7,C,-16,C,-9.4,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-105.1,69.1,69.1,-105.1,2400602.2002,2400602,Annual,Ann,NU,2002,-13.6,C,-16.9,C,-10.2,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-105.1,69.1,69.1,-105.1,2400602.2003,2400602,Annual,Ann,NU,2003,-13.2,C,-16.6,C,-9.8,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-105.1,69.1,69.1,-105.1,2400602.2004,2400602,Annual,Ann,NU,2004,-16,C,-19.2,C,-12.8,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-105.1,69.1,69.1,-105.1,2400602.2005,2400602,Annual,Ann,NU,2005,-14,C,-17.2,C,-10.8,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-105.1,69.1,69.1,-105.1,2400602.2006,2400602,Annual,Ann,NU,2006,-10.7,C,-14.1,C,-7.2,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-105.1,69.1,69.1,-105.1,2400602.2007,2400602,Annual,Ann,NU,2007,-13.8,C,-17,C,-10.6,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-105.1,69.1,69.1,-105.1,2400602.2008,2400602,Annual,Ann,NU,2008,-13.9,C,-17,C,-10.7,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-105.1,69.1,69.1,-105.1,2400602.2009,2400602,Annual,Ann,NU,2009,-13,C,-16,C,-9.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-105.1,69.1,69.1,-105.1,2400602.2010,2400602,Annual,Ann,NU,2010,-10.3,C,-13.5,C,-7,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-105.1,69.1,69.1,-105.1,2400602.2011,2400602,Annual,Ann,NU,2011,-12.6,C,-15.8,C,-9.4,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-105.1,69.1,69.1,-105.1,2400602.2012,2400602,Annual,Ann,NU,2012,-12.1,C,-15.2,C,-8.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-105.1,69.1,69.1,-105.1,2400602.2013,2400602,Annual,Ann,NU,2013,-13.3,C,-16.3,C,-10.3,C,,mm,,mm,,mm,,hPa,,hPa,,kph
